['2018-10-28 23:51:38+00:00'],['فريق لمده ست سنوات يحصد جميع القاب وسيطر علي اوروبا كلها وفرحنا لعده سنوات لدرجه معش نفرحو بعد نفوزو حتي بدوري الابطال، فا ليس من الغريب مشاهده كل هذه الفرحه من فريق اخر او رؤيه كثير من شامتين لاننا ريال مدريد افرحونا كثيرا لن نحزن حتي من خساره لقب هالا مدريد دائما وابدا'],['AlwerfalyHassan']
['2018-10-28 23:50:58+00:00'],['سعر الدولار اليوم ريال مدريد و 25 قرش.. باهي الي ميسي مالعب راها ارقي'],['JWGMWphuT2qD5Dl']
['2018-10-28 23:50:53+00:00'],['مدريدي امه بتصحيه وبتقوله اصحي يابني الساعة بقت ستة قالها ايه دا هما لسا بيجيبوا اجوان !! #ريال_مدريد_برشلونه @modestboy27pic.twitter.com/kqLzyzDIQT'],['bayoo220']
['2018-10-28 23:50:51+00:00'],['#ريال_مدريد على المدرب الجديد إعادة تأهيل وتدريب اللاعبين بعد أن نسوها برحيل زيدان . رحل عنكم زيدان ورحلت الألقاب .'],['alwzeer982']
['2018-10-28 23:50:22+00:00'],['اليوفنتوس اشترى ريال مدريد ب 100 مليون يورو pic.twitter.com/KtFogkdb5U'],['KhodorAbdallah1']
['2018-10-28 23:50:08+00:00'],['مايفسده الريال يزوده الاهلي ويوم مايعلم بيه الا ربنا.. #الاهلي_الوصل #برشلونه_ريال_مدريد'],['Amouri_74']
['2018-10-28 23:49:41+00:00'],['سعر الدولار اليوم ريال مدريد و 25 قرش.. باهي الي ميسي مالعب راها ارقي'],['JWGMWphuT2qD5Dl']
['2018-10-28 23:49:40+00:00'],['إعادة الكلاسيكو التاريخي للبارسا (5-1) الأن للي حاب يتفرج #برشلونه_ريال_مدريد'],['fcbarcelona_200']
['2018-10-28 23:49:33+00:00'],['خسارة أو فوز مازال ريال مدريد اسطورة و سيبقى نادي القرن هذه سنة الحياة يوم لك ويوم عليك ..عزيزي المدريدي لاتفهمني غلط وتقرأ اول حرف من كل جملة #visca_barça'],['abdesslamhfaied']
['2018-10-28 23:49:29+00:00'],['يارب اصحي علي اقاله لوبتغيني وتعين أرسين فينغر #ريال_مدريد'],['kratos177977']
['2018-10-28 23:49:28+00:00'],['مهاجم ريال مدريد .... مهاجم برشلونة كريم بن زيما صاموئيل ايتو كريم بن زيما تيري هنري كريم بن زيما زلاتان ابراهيموفيتش كريم بن زيما. ديفد فيا كريم بن زيما. لويس سواريز ادري كريم بن زيما لازم علينا لزمة وما ادري وما يقدر النادي يشتري بديل pic.twitter.com/niIX2O7fsx'],['Waleeed_RM']
['2018-10-28 23:49:10+00:00'],['I liked a @YouTube video http://youtu.be/Cc9KHlhYOIQ?a تحليل ماتش برشلونة و ريال مدريد عليه العوض'],['3abdo5aled']
['2018-10-28 23:48:53+00:00'],['#برشلونه_ريال_مدريد فضيحه كرويه وقد اعتاد الريال عليها ليست بشيئ الغريب pic.twitter.com/o8yV7yLoUO'],['Mjalhazmi56']
