['2018-10-28 23:53:46+00:00'],['برشلونه ، تشيلسي ، مانشستر pic.twitter.com/Dlxqffm8h3'],['GomaaOfficial']
['2018-10-28 23:53:41+00:00'],['لاغي هدف ماهوش تسلل من برشلونه وضربة جزاء ماحسبهاش وروبيرتو حمراء ظلم ومزال تكلم إمشي ارقد ياخاسر إمشي'],['mohammed7367975']
['2018-10-28 23:53:38+00:00'],['بسألك ؛ ستة من الاتفاق ولا خمسة من برشلونه ايهما أكثر وجعاً بنسبة لك؟'],['IFA9V']
['2018-10-28 23:53:27+00:00'],["J'ai ajouté une vidéo à une playlist @YouTube - اجمل مباراة في تاريخ الكلاسيكو برشلونة و ريال"],['belkhir_saber']
['2018-10-28 23:53:00+00:00'],['انا شخص اشجع برشلونة لاكن للمعلومية الريال من بعد هذه اللقطة حقق "دوري الابطال" وعلى مشارف كأس العالم للأندية ، لقطتك ي صاحبي خياليه .'],['90siiil']
['2018-10-28 23:52:40+00:00'],['يا كابتن شجع برشلونه'],['FathiAl10902675']
['2018-10-28 23:52:37+00:00'],['فرشركم فرش برشلونه ٥/٠ ٤/٠ ٣/٠ بوجود المنتهي ٥/١ بدونه'],['Salhajeri7']
['2018-10-28 23:52:33+00:00'],['#برشلونه_ريال_مدريد أهداف المباراة HD BAR 5-1 RMA عصام الشواليpic.twitter.com/8p2m6ix4bj'],['S8R_HD102']
['2018-10-28 23:52:23+00:00'],|['#أسرة_شي_إن #تويته_عن_طقس_مدينتك #افضل_سناب_t #الاهلي_وفاق_سطيف #الدريس_يسيء_لمغردي_الوطن #برشلونه_ريال_مدريد #انعش_قلبك_بالذكر #الدريس_يسيء_لمغردي_الوووطن #السعودية #متعصب_هلالي_يقود_المسابقات #الديربي_الحايلي #امطار_المدينه #امطار_الرياض #أمطار_الرياض #اغلاق_قناه_الفتنه_الجزيرهpic.twitter.com/aNqSfOBwNl – at KFC || كنتاكي']|,['Markat_shop2017']
['2018-10-28 23:52:15+00:00'],['#برشلونه_ريال_مدريد @andresiniesta8 #الرسام كان يستمتع بالكلاسيكو pic.twitter.com/C6p1db5RPd'],['Hassan_oS9']
['2018-10-28 23:52:03+00:00'],['سؤال للاخوان البرشلونيين هل الحفله الى الان مستمره ؟ #برشلونه'],['engabdulllllah']
['2018-10-28 23:51:59+00:00'],['الكراش بتحفل عليا علشان شلنا 5 من برشلونه واتعادلنا من الوصل الاماراتي #غدر_الكراشات'],['muhamed5mostafa']
