['2018-10-28 23:47:33+00:00'],['اتوقع انهم اذا لعبوا الكلاسيكو بكورة صفراء فذلك يعني ان مدريد بينجلد بنتيجة كبيرة واذا لعبوا بكورة بيضاء بيجي كلاسيكو متوازن الزبدة اتوقع الكورة الصفراء فيها نحس وسحر pic.twitter.com/QrkrgJmNcg'],['_yas6']
['2018-10-28 23:47:26+00:00'],['ابي ملخص الكلاسيكو يالربع'],['iGriz7']
['2018-10-28 23:47:22+00:00'],['لفة مع حبيبة خالو قبل الكلاسيكو #niecelove https://www.instagram.com/p/Bpe498-HLW0/?utm_source=ig_twitter_share&igshid=1lztbqt7lbrln …'],['HHathout']
['2018-10-28 23:47:09+00:00'],['اتابع الكلاسيكو اعاده وانت؟'],['i7mooha']
['2018-10-28 23:47:00+00:00'],['الكلاسيكو الان على بي ان سبورتس HD3 كل التوفيق لريال مدريد #HalaMadrid'],['Liga4Arabia']
['2018-10-28 23:46:39+00:00'],['ثنائية سيرجي روبيرتو و سواريز من اعظم الثنائيات في تاريخ الكلاسيكو.. أنا مش عارف الأتنين دول عاوزين من الريال ايه؟! كل ماتش موجودين و حاضرين فيه لازم بيعملوا حاجه'],['AhmedMostafa_10']
['2018-10-28 23:45:53+00:00'],['إعادة الكلاسيكو التاريخي للبارسا (5-1)، الان على بي ان سبورتس HD3.'],['BarcaArabNet']
['2018-10-28 23:45:28+00:00'],['الان جماهير برشلونة راح تستلم جماهير ريال مدريد طقطقة لـ فترة الله أعلم كم تبقى من بعد 4 - 0 بدون ميسي الان صارت 5 - 1 بدون ميسي الله يعينكم #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:27+00:00'],['بس و الله حتى بعد غياب ميسي و كريستيانو رونالدو عن الكلاسيكو ما زال في حماس و كان كلاسيكو رائع #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:27+00:00'],['أداء رائع و مذهل لـ برشلونة حتى مع غياب ميسي لازم يعملوا الكثير لـ ريال مدريد حتى يعودوا كما كانوا قبل رحيل المدرب زيدان و رحيل كريستيانو رونالدو لانه من بعد رحيلهم و هوية الفريق ضائعة #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:25+00:00'],['نهاية المباراة : برشلونة 5 - 1 ريال مدريد مبروووووك لـ برشلونة و عشاق برشلونة الفوز في المباراة و هاردلك لـ ريال مدريد #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرضpic.twitter.com/VdB0abMsMo'],['mahra6791']
['2018-10-28 23:45:21+00:00'],['الكينغ و المحارب ارتورو فيدال يسجل أول هدف له مع برشلونة في الكلاسيكو و هو لسى ما كمل 3 دقائق على دخوله كـ بديل يستاهل لاعبنا و ولدنا السابق #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:21+00:00'],['قوووووووووول خامس لـ برشلونة من ارتورو فيدال و اسيست من عثمان ديمبيلي بـ الدقيقة 87 رأسية رائعة من الكينغ و المحارب فيدال و يسجل أول هدف له مع برشلونة في الكلاسيكو #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:19+00:00'],['هاتريك من لويس سواريز و أمام ريال مدريد مو معقول يا سواريز وين جماهير برشلونة اللي تقول عنه فاشل و ما منه فائدة و تكملة عدد هذا هو سواريز شالكم و رفعكم في المباراة في غياب ميسي #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:45:17+00:00'],['قوووووووووول رابع لـ برشلونة من سواريز و اسيست من سيرجي روبيرتو بـ الدقيقة 83 خطأ من راموس و افتكها سيرجيو روبيرتو و انفراد لـ لويس سواريز أمام كورتوا و سجل الهاتريك #برشلونة_ريال_مدريد #ريال_مدريد_برشلونة #الكلاسيكو #ElClasico #كلاسيكو_العالم #كلاسيكو_الأرض'],['mahra6791']
['2018-10-28 23:44:53+00:00'],['@AmirAbdElhalim شابو بجد ياامير محلل ممتاز واسلوبك ف تحليل الكلاسيكو رائع او اي مباراه اخره وعندك رايه مستقبليه جيدا كانت حلقه حلوه مع #حتحوت'],['RodySayed76']
['2018-10-28 23:43:44+00:00'],['ملخص مباراة كلاسيكو الجنون – برشلونة وريال مدريد 6-2 ميسي المبدع يجنن يوسف سيف #الكلاسيكو • HD https://barcelonabelarabi.info/%d9%85%d9%84%d8%ae%d8%b5-%d9%85%d8%a8%d8%a7%d8%b1%d8%a7%d8%a9-%d9%83%d9%84%d8%a7%d8%b3%d9%8a%d9%83%d9%88-%d8%a7%d9%84%d8%ac%d9%86%d9%88%d9%86-%d8%a8%d8%b1%d8%b4%d9%84%d9%88%d9%86%d8%a9-%d9%88%d8%b1/ …pic.twitter.com/GNODuXUbdL'],['asdaalwatan']
['2018-10-28 23:42:19+00:00'],['متى اعادة الكلاسيكو شباب'],['39o0my']
['2018-10-28 23:42:14+00:00'],['I liked a @YouTube video http://youtu.be/wAyUQEK6T9M?a المدفع : الكلاسيكو برشلونة ريال مدريد (5-1) -'],['khalidelzahra']
['2018-10-28 23:42:11+00:00'],['ملخص أهداف الكلاسيكو بعد فوز ساحق لنادي برشلونة ب 5 أهداف مقابل 1 على غريمه التقليدي ريال مدريد تقرير : Lhossin Chakir https://www.facebook.com/BifornaAgency.MainPage/videos/606742403074841/ …'],['BifornaAgency']
['2018-10-28 23:41:16+00:00'],|['SP || كسر الكلاسيكو']|,['barca_news_arab']
['2018-10-28 23:39:45+00:00'],['اعيد الكلاسيكو'],['Yosf73891909']
['2018-10-28 23:39:35+00:00'],['اخويا بعد ماتش الكلاسيكو نام مكتئب وساب كل شغله اوفر اوي اقسم بالله وبزعل علشانه جدا لما بيزعل بس ف الواقع مش عارفه اعمله ايه'],['Nelfarsi']
['2018-10-28 23:39:26+00:00'],['هسة اليبچي متعرفه زاير لو ريالي 5 #عزاء_الاربعين_وفاء_للحسين #الكلاسيكو pic.twitter.com/RX5HUGQ3IM'],['ameeno1994']
['2018-10-28 23:39:00+00:00'],['از وقتی دوگانه شد، تقریبا دیگه هیچ وقت از الکلاسیکو لذت نبردم، تا امروز...'],['MoSada18']
['2018-10-28 23:37:52+00:00'],['في انتظار بيان رسمي من ليستر على ما حدث لنا في الكلاسيكو يا بيريز يابن المت**'],['hoshos_madrid']
['2018-10-28 23:37:21+00:00'],['لو أنّ لاعبي الريال عندهم نصف الحماس والروح التي عند مارسيلو ؟ هل يستحق مارسيلو أن تكتب بتاريخه هذه الخسارة ؟ #الكلاسيكو pic.twitter.com/aFCmC9WYBJ'],['TalhaAhmad81']
['2018-10-28 23:37:09+00:00'],['المباراه خلصت لها ست ساعات وانا كل ساعتين اتابع ملخص الكلاسيكو .. يا البيستوليرو خلني انام بالله pic.twitter.com/ijiVNSDL4n'],['5hiled_']
['2018-10-28 23:37:03+00:00'],['راموس: اعطينا 45 دقيقة فقط في الكلاسيكو.'],['Sway4sport']
['2018-10-28 23:36:35+00:00'],['انتهت المباريات الكبيرة في يوم الأحد تابعت أكثر المباريات في مباراة الكلاسيكو الأسباني وعرفت أن لوبتيغي مظلوم في الريال أين الصفقات يا بريز؟! وعرفت أن برشلونة ستسيطر علي أسبانيا هذا العام وهتذهب بعيدا في دوري الأبطال وبعد مباراة يونايتيد يبدو أن الأمور تستير مع مورنيو الي الصواب'],['AmrAtiaNassar']
['2018-10-28 23:35:16+00:00'],['أعجبني فيديو @YouTube على http://youtu.be/8DtF1M5OflA?a فضيحة في الكلاسيكو ، عودة البرسا'],['Rthabbet']
['2018-10-28 23:35:04+00:00'],['نجيب انقذني متى إعادة مباراة الكلاسيكو او اذا في طريقه اشوف الإعادة من موقع'],['m_almarshed']
['2018-10-28 23:34:22+00:00'],['الحاجة الغريبة في الكلاسيكو دة انو مدرب برشلونة لعب خمسة مرات في الكلاسيكو و مدرب مدريد مرة وحدة ..'],['z3to0or']
['2018-10-28 23:34:13+00:00'],['المدريدي قبل الكلاسيكو: أنت يالبرشلوني تشوف برشلونه كله ميسي وماعندكم الا ميسي وتعتبرون ميسي الفريق كله. المدريدي بعد الكلاسيكو: وينك يارونالدو من بعدك مدريد ماله طعم وماراح اشجعه انا بشجع اليوفي.'],['BANDAR___Q8']
['2018-10-28 23:34:07+00:00'],['"شاهد ردة و تعصب شاكيرا وهي تشاهد الكلاسيكو " : http://youtu.be/Z4TN6MsU5VE?a via @YouTube'],['afarissi2018']
['2018-10-28 23:33:01+00:00'],['أخبار نادي برشلونة: فالفيردي: من المفيد جدًا ربح الكلاسيكو بهذه الطريقة المزيد من التفاصيل: http://90kora.com/news/721271'],['buzzkoranews']
['2018-10-28 23:32:32+00:00'],['خماسية الكلاسيكو افسدت علي الاستمتاع بهذا الوقت المقدس بالنسبة لي .. مأجمل ليالي الشتاء'],['SirFahd_']
['2018-10-28 23:32:24+00:00'],|['AS || ليفربول الحاضر الغائب في الكلاسيكو - احتفت الجماهير الإنجليزية بلاعبيها السابقين بعدما تمكنا من سحق الغريم التقليدي بخماسية pic.twitter.com/AJNqr0j6Y5']|,['FCBW_A7']
['2018-10-28 23:30:15+00:00'],['البرشلوني من 2009 وذباته ماتغيرت بدون ميسي وبدون حذاء ! ترى مبارأة الكلاسيكو مو بطولة يالغبي شف دعس رونالدو لـ ميسي ههههـ هذا الدعس صار ميسي يدور بمكانه ووجه كنه مصفوق بنعل قتله الدون هههههههههههههههههههههههههههههههههههههههههههههههههههههههههاااآاآيي pic.twitter.com/Ez2pGUFvjx'],['RP7CR7']
['2018-10-28 23:30:13+00:00'],['ذاك الكلاسيكو فيه ٢٤ دوري و٤ ابطال اسيا الكلاسيكو حقكم ١١ دوري صفر ابطال اسيا'],['Muddfc']
['2018-10-28 23:30:03+00:00'],['متى رح تنزل حلقة الكلاسيكو ؟؟'],['Hesoka001']
['2018-10-28 23:29:12+00:00'],['نام عزيزي المدريدي .. هذه مزحة وليس حقيقة الكلاسيكو السبت القادم .. الساعة 3 بتوقيت سواريز والخامسة بتوقيت فيدال pic.twitter.com/pFOhvXKHyi'],['abnalaaz71']
['2018-10-28 23:29:04+00:00'],['ليش مو العكس من لاعبين الريال خصوصا بعد النتائج الكبيره في مباريات الكلاسيكو؟'],['awhab1990']
['2018-10-28 23:28:41+00:00'],['بو إبراهيم ما عاد يهمهم لا العنقود ولا العنب.. خليفة وعمر في الجامعة بأمريكا- كبروا عن سوالف #الكلاسيكو-حتى ما تابعوا الكلاسيكو... وما عاد له طعم برحيل رونالدو... @alshayji_97 @omaralshayji_ #classico￼https://twitter.com/M132adil/status/1056598879658041344 …'],['docshayji']
['2018-10-28 23:27:46+00:00'],['خاطره بازی Viva barca و سوارز : گنگسترِ یاغیِ عاشق #ElClásico #barca #Barcelona #الکلاسیکو #سوارز #بارساpic.twitter.com/MOjmV9wxaW'],['AaBolourchian']
['2018-10-28 23:27:40+00:00'],['نحضر اهداف الكلاسيكو الخمسة عل يوتيوب اكثر من مره وكل مره بصوت معلق شكل'],['malkawiXII']
['2018-10-28 23:27:30+00:00'],['نام عزيزي المدريدي .. هذه مزحة وليس حقيقة الكلاسيكو السبت القادم .. الساعة 3 بتوقيت سواريز والخامسة بتوقيت فيدال pic.twitter.com/pFOhvXKHyi'],['abnalaaz71']
['2018-10-28 23:27:12+00:00'],['خلني كل سنه انصقع في الكلاسيكو بس اعطني كل سنه دوري ابطال'],['aoon_11']
['2018-10-28 23:26:57+00:00'],['ملخص الكلاسيكو أهداف مباراة برشلونة و ريال مدريد 5 1 ثلاثية سواريز:'],['fyIAKZWsBYmGu1M']
['2018-10-28 23:26:56+00:00'],['أضفت فيديو إلى قائمة تشغيل @YouTube على http://youtu.be/f61AC86wHis?a ملخص الكلاسيكو أهداف'],['fyIAKZWsBYmGu1M']
