Date	Tweet	Username
['2018-10-28 23:11:57+00:00	للامانه اي احد يتكلم عن المدرب ويتكلم عن فشله مايفهم شيء بالكوره ، المدرب ماقصر وسوا الي عليه لكن الي شفناه هو عهر باللاعبين للامانه ، وكان عيب لوبتيغي تاخره بالتبديلات ، اذا كمل لوبتيغي مع #ريال_مدريد فانا كلي ثقه فيه	['i3zz_7']
['2018-10-28 23:11:57+00:00	انا شايف انه ريال مدريد يقلبو منطقه صناعيه احسن من الفارغه دي..	['aljoody98']
['2018-10-28 23:11:57+00:00	جوردي البا. فوز علي ريال مدريد مثل فوز ب كاس ابطال اروبا. مهما ديروا ريال اكبر منكم	['AliSala52886132']
['2018-10-28 23:11:57+00:00	اه والله ريال مدريد مجاش الماتش	['TarekNour11_']
['2018-10-28 23:11:57+00:00	الدوري الفرنسي: البديل مبابي دخل فسجل كالعاده ثم اضاف دراكسلر هدف باخر دقيقه لينتهي الكلاسيكو بفوز باريس - علي ملعب غريمه مرسيليا ويواصل هيمنته وتحليقه وحيدا في الصداره بعلامه كامله. اصبح ثاني فريق فقط يفوز باول 11 مباراه بنفس الموسم في اقوي 5 دوريات بعد توتنهام في 1960/61. 	['fifacom_ar']
['2018-10-28 23:11:57+00:00	"#برشلونه_ريال_مدريد "" لعل ركعه واحده تكون نهايه حزن ثقيل ، وبدايه فرح مقيم؛ لا تستخفوا برفع الاكف الي الله ، فانه ""قريب يجيب دعوه الداع اذا دعاه"" - صلاه الوتر."	['i_fatimh89']
['2018-10-28 23:11:57+00:00	افشل نسخه من ريال مدريد.	['brahimie95']
['2018-10-28 23:11:57+00:00	#برشلونه_ريال_مدريد جون كمان وكنا هنقول انهم بيلعبوا بروح الفانله البيضه	['EslamsaadEs']
['2018-10-28 23:11:57+00:00	علي الرغم من انه اول كلاسيكو من غير ميسي و رونالدو الا انه كان من امتع ماتشات الكلاسيكو اللي شوفتها 	['solomezzat']
['2018-10-28 23:11:57+00:00	في عهد كريستيانو رونالدو كان في كل دور من دوري ابطال اوروبا يشجع انصار برشلونه فريقا جديدا	['Omarbakriahmed']
['2018-10-28 23:11:57+00:00	اهلاوي يتابع برشلونه وريال مدريد يقول منتظر يجي السادس عشان اكتب شهر يسقط فيه الملوك #الاهلي_وفاق_سطيف	['mbc_fm7']
['2018-10-28 23:11:57+00:00	درجه لون شورت برشلونه و شكل الشراب جامدين فشخ والله و الطقم علي بعضه يفتح النفس	['kaboria1312']
['2018-10-28 23:11:57+00:00	برشلونه يسحق ريال مدريد 5-1 في الكلاسيكو الاسباني 	['koora_spain']
['2018-10-28 23:11:57+00:00	لو لاحظت ان ريال مدريد بدا الشوط الثاني افضل وسجل وكان اخطر الا ان سواريز سجل من نصف فرصه هدف وغلطه راموس قتلت المباراه .. متاكد ان لو سواريز كان لاعبا لريال مدريد في بدايه الشوط الثاني كان ع الاقل سجل ثلاثيه في 15 دقيقيه الي كان فيها ريال مدريد خطير المشكله في انهاء الهجمه	['albr96']
['2018-10-28 23:11:57+00:00	الامارات بلد الامن والامان الامارات بلد السلام الامارات بلد الاخوه لكل العالم الامارات اغلا واحلا واسعد بلد #الامارات_والسعوديه_قلب_واحد #ريال_مدريد_برشلونه 	['om4r90']
['2018-10-28 23:11:57+00:00	خماسيه برشلونه في الكلاسيكو وسقوط ريال مدريد وفوز الكبار في الدوري الانجليزي الابرز في الاحد الكروي المشتعل 	['ReyadaCom']
['2018-10-28 23:11:57+00:00	الاربعاء 31/10 مليليه vs ريال مدريد السبت 3/11 ريال مدريد vs بلد الوليد الاربعاء 7/11 فيكتوريا بلزن vs ريال مدريد الاحد 11/11 سيلتا فيغو vs ريال مدريد توقف الدوريات	['mouhcine_tabti']
['2018-10-28 23:11:57+00:00	هل فاز #برشلونه بتدخلات فالفيردي ؟ ام من سوء اداره لوبيتغي ؟ تبديلات لوبيتيغي وكيف حولت مجري المباراه #الكلاسيكو 	['TalhaAhmad81']
['2018-10-28 23:11:57+00:00	"""رد فعل مدريدي متعصب علي #الكلاسيكو ههه ليله سوداء"" : "	['Halimovich31']
['2018-10-28 23:11:57+00:00	سانتي نولا ( MD ): برشلونه طبق ضغط مثالي جدا علي ريال مدريد في الشوط الاول . بدون ميسي يفتقد الشراره في الهجوم لكن الفريق اكثر تنظيم و التزام في الشق الدفاعي 	['FCBW_A7']
['2018-10-28 23:11:57+00:00	اجمل حاجه حصلت النهارده هي فوز برشلونه علي الريال بخماسيه راءعه مع الرافه برغم ان الساحر ميسي لم يلعب الماتش فيما عدا ذلك كان اليوم مملا كالعاده 	['Mikhaelmalak1']
